word,type
Field Goalpost,object
Fig,object
Fig Tree,object
Fighter Jet,object
Fighter Pilot,human
Fighter Plane,object
Figure Skater,human
Figurine,object
File (Tool),object
Filing Cabinet,object
Film (Material),object
Film Reel,object
Fin (Organic),object
Finger,object
Fingerless Glove,object
Fingerprint,object
Finish Line,object
Fire,other
Fire Alarm,object
Fire Ant,animal
Fire Engine,object
Fire Escape,object
Fire Extinguisher,object
Fire Hose,object
Fire Hydrant,object
Fire Log,object
Fire Station,object
Fireball,other
Firecracker,object
Firefly,animal
Fireman,human
Fireman Uniform,object
Fireplace,object
Fireworks,object
First Aid Kit,object
First Lady,human
Fish (Animal),animal
Fish Bait,object
Fish Food,object
Fish Market,object
Fish Stick,object
Fish Tail,object
Fish Tank,object
Fisherman,human
Fishing Hook,object
Fishing Line,object
Fishing Pole,object
Fishing Reel,object
Fitness Tracker,object
Five,other
Fixed Ladder,object
Fjord,other
Flag,object
Flagpole,object
Flamenco Dancer,human
Flamethrower,object
Flamingo,animal
Flare,object
Flare Gun,object
Flash,human
Flash Bomb,object
Flashcard,object
Flashlight,object
Flat (Music),other
Flea,animal
Flier (Paper),object
Flight Attendant,human
Flight School,other
Floodlight,object
Floor,object
Floor Lamp,object
Floor Tile,object
Floppy Disk,object
Florist,human
Floss,object
Flour,object
Flower,object
Flower Box,object
Flower Girl,human
Flower Shop,object
Flowerbed,object
Flowerpot,object
Flurry,other
Flute,object
Fly,animal
Fly Swatter,object
Flying Car,object
Flying Fish,animal
Flying Squirrel,animal
Foal,animal
Foam,object
Foam Block,object
Foam Dart,object
Foam Dart Gun,object
Foam Finger,object
Fog Horn,object
Folder,object
Folding Chair,object
Folding Fan,object
Folding Screen,object
Folding Table,object
Food,object
Food Service Worker,human
Food Truck,object
Foosball,object
Foot,object
Football,object
Football Helmet,object
Football Player,human
Forest,other
Forest Ranger,human
Fork,object
Forklift,object
Fort,object
Fortune,other
Fortune Cookie,object
Fortune Teller,human
Foundation (Makeup),object
Foundation (Stone),object
Fountain,object
Fountain of Youth,other
Four,other
Fox,animal
Fox Cub,animal
Frame,object
Fraternity,other
Fraternity Brother,human
Freckle,object
Freezer,object
French Braid,object
French Bulldog,animal
French Doors,object
French Horn,object
French Toast,object
Fried Chicken,object
Fried Rice,object
Fries,object
Frog,animal
Frog Legs,object
Fruitcake,object
Fudge,object
Full Moon,other
Fun House,object
Funeral,other
Funeral Home,object
Fungus,object
Funnel,object
Funnel Cake,object
Fur,object
Fur Coat,object
Furnace (Appliance),object
Furniture Store,object
Fuse,object
Fuse Box,object
Gadget,object
Galileo,human
Gallows,object
Gambler,human
Game Developer,human
Game Guide,object
Game Show Host,human
Gamepad,object
Gamer,human
Gangster,human
Garage (Room),object
Garage Door,object
Garage Sale,other
Garbage Bag,object
Garbage Can,object
Garbage Dump,object
Garbage Man,human
Garbage Woman,human
Garden Gnome,humanoid
Gardener,human
Gargoyle,humanoid
Garlic,object
Garlic Bread,object
Garlic Fries,object
Gas Mask,object
Gas Pump,object
Gas Station,object
Gas Tank,object
Gasoline,object
Gateway,object
Gauge,object
Gauntlet,object
Gauze,object
Gazebo,object
Gear,object
Gecko,animal
Geek,human
Geiger Counter,object
Geisha,human
Gel,object
Gelatin,object
Gem,object
Gemini (Stars),other
General,human
Generator,object
Genghis Khan,human
Genie,humanoid
Genius,other
Geologist,human
George Washington,human
Germ,other
German Shepherd,animal
Ghost,other
Ghoul (Monster),humanoid
Giant,humanoid
Gift,object
Gift Certificate,object
Gift Shop,object
Gill,object
Ginger Ale,object
Gingerbread,object
Gingerbread House,object
Giraffe,animal
Giraffe Calf,animal
Girdle,object
Girl,human
Girlfriend,human
Glacier,object
Gland,object
Glass Slipper,object
Glaze,object
Globe,object
Glove,object
Gloves,object
Glow Stick,object
Glue,object
Glue Gun,object
Glum,other
Glutton (Person),human
Gnome,humanoid
Goal,other
Goalie,human
Goalpost,object
Goat,animal
Goatee,other
Goblet,object
Goblin,humanoid
God,humanoid
Goddess,humanoid
Goggles,object
Gold,object
Gold Mine,object
Golden Egg,object
Golden Retriever,animal
Goldfish,animal
Golf Bag,object
Golf Ball,object
Golf Cart,object
Golf Club,object
Golf Course,object
Golf Glove,object
Golfer,human
Gong,object
Goose,animal
Gopher,animal
Gorge,object
Gorilla,animal
Goth,human
Governor,human
GPS,object
Graduate,human
Graffiti,object
Grail,object
Grandfather,human
Grandfather Clock,object
Grandmother,human
Granite,object
Grape,object
Grape Juice,object
Grape Soda,object
Grapefruit Tree,object
Grapes,object
Grapevine,object
Graph Paper,object
Grass,object
Grasshopper,animal
Grassland,object
Grate,object
Grater,object
Grave,object
Gravedigger,human
Gravel,object
Graveyard,object
Gravy,object
Gravy Boat,object
Gray whale,animal
Great Dane,animal
Great White Shark,animal
Greater Than Sign,object
Greek Temple,object
Green Button,object
Green Switch,object
Greenhouse,object
Grenade,object
Grenade Launcher,object
Greyhound,animal
Griddle,object
Griffin,other
Grill,object
Grilled Cheese,object
Grinder (Tool),object
Grindstone,object
Groom,human
Groomsman,human
Ground Beef,object
Ground Meat,object
Groupie,human
Guacamole,object
Guerilla,human
Guidance Counselor,human
Guide Dog,animal
Guillotine,object
Guinea Pig,animal
Guitar Case,object
Guitar Strap,object
Guitarist,human
Gum,object
Gumball,object
Gumball Machine,object
Gumdrop,object
Gummi Bear,object
Gun,object
Gun Range,object
Gunpowder,object
Guppy,animal
Gutters,object
Guy,human
Guy Fawkes Mask,object
Gym,object
Gyro,object
Gyroscope,object
Hacksaw,object
Hades,human
Hail,object
Hail Storm,other
Hair,object
Hair Brush,object
Hair Clip,object
Hair Curlers,object
Hair Spray,object
Hairball,object
Hairdresser,human
Hairdye,object
Hairnet,object
Hairpin,object
Halloween Costume,object
Hallpass,object
Hallway,object
Halo,object
Ham,object
Hamburger,object
Hammer,object
Hammerhead (Shark),animal
Hammock,object
Hamper,object
Hamster,animal
Hand,object
Hand Crank,object
Hand Mirror,object
Handcuffs,object
Handheld,object
Handicapped Sign,object
Handkerchief,object
Handle,object
Hands,object
Hang,other
Hang Glider,object
Hangman,other
Hard Drive,object
Hard Hat,object
Hardware Store,object
Hare,animal
Harlequin,humanoid
Harley Quinn,human
Harmonica,object
Harness,object
Harp,object
Harpoon,object
Hash Brown,object
Hat,object
Hat Stand,object
Hawaiian Shirt,object
Hawk,animal
Hay,object
Hay Bale,object
Haystack,object
Hazel Tree,object
Hazmat Suit,object
Hazmat Worker,human
Head,object
Head Coach,human
Head Scarf,object
Headband,object
Headboard,object
Headless Horseman,humanoid
Headlight,object
Headphones,object
Hearing Aid,object
Hearse,object
Heart (Organ),object
Heart (Shape),object
Heat Detector,object
Heater,object
Heaven,other
Hector,human
Hedge,object
Hedge Trimmer,object
Hedgehog,animal
Heels,object
Heirloom,object
Hell,other
Helmet,object
Hemisphere,object
Herbs,object
Hercules,human
Hero (Person),human
Heroine,human
Heron,animal
Hexagon,object
High Chair,object
Highlighter,object
Highway,object
Hill,object
Hillbilly,human
Hinge,object
Hippie,human
Hippopotamus,animal
Hipster,human
Historian,human
History Museum,object
Hitch,object
Hobo,human
Hockey Goal,object
Hockey Player,human
Hockey Puck,object
Hockey Stick,object
Hoe (Tool),object
Hole Puncher,object
Holly,other
Holster,object
Holy Water,object
Home Gym,object
Homeless Shelter,object
Homework,other
Homing Missile,object
Honey,object
Honey Badger,animal
Honeycomb,object
Hood (Clothes),object
Hook,object
Hooves,animal
Horn (Animal),object
Hornet,animal
Horns,object
Horror Mask,object
Horse,animal
Horse Carriage,object
Horse Radish,object
Horse Tail,object
Horsefly,animal
Horseshoe,object
Horseshoe Crab,animal
Hose,object
Hospital,object
Hospital Bed,object
Hostage,human
Hot Air Balloon,object
Hot Chocolate,object
Hot Dog,object
Hot Dog Stand,object
Hot Plate,object
Hot Sauce,object
Hot Spring,object
Hot Tub,object
Hot Water Bottle,object
Hotel,object
Hound,animal
Hourglass,object
House,object
Houseboat,object
Hoverboard (Real),object
Hoverboard (Sci-Fi),object
Hovercraft,object
Hubcap,object
Huge Boulder,object
Hula Dancer,human
Hula Hoop,object
Hula Skirt,object
Hull,object
Human,human
Humidifier,object
Hummingbird,animal
Humpback Whale,animal
Humpty Dumpty,humanoid
Hunchback,human
